number,url,title,author,created,updated,draft,base,files_changed,additions,deletions,mergeable_state,area,real,relevant_to_main,security,safe_to_merge,useful,verdict,human_attention,effort,blocking,duplicate_of,security_notes,notes
9981,https://github.com/cline/cline/pull/9981,"feat: Add a tool to look up callers, callees, symbols, etc. (JetBrains only)",dominiccooney,2026-03-26,2026-06-10,True,main,53,6104,8,dirty,legacy-dead-paths,yes,no,clean,no,medium,maintainer-internal,no,large,still a draft; conflicts with main; entire diff lands in the deleted repo-root src//proto//webview-ui/ tree,,"Checked the full CodeIntelligenceToolHandler: no new dependencies, no new network endpoints (the only URLs are example.com placeholders inside prompt snapshots), no shell/exec usage, no filesystem writes. Telemetry goes through the existing telemetryService under a new 'code-intelligence' category, not a new sink. The tool self-auto-approves (say('tool', ...) with no ask) but it is strictly read-only symbol lookup and is double-gated on the codeIntelligenceEnabled setting AND HostProvider.psi being present, so it cannot widen the approval model for VS Code or CLI users.","Substantial and coherent 6k-line feature adding a PSI-backed code_intelligence tool (searchSymbols/getDefinition/getReferences/getCallers/getCallees/getTypeHierarchy) plus setting plumbing, a gated Experimental toggle, 9 unit tests and 12 prompt snapshots. Authored by a Cline team member and CI was green at the time, but it is a draft last touched 2026-06-10 and every file lives in the pre-restructure tree; no psi.proto or PSI host bridge exists anywhere under apps/ or sdk/ on main, so it needs a full port before it can land. Leave it to its author."
10007,https://github.com/cline/cline/pull/10007,"fix: correct MiniMax context window from 192K to 204,800 tokens",cyphercodes,2026-03-27,2026-05-30,False,main,3,13,11,dirty,legacy-dead-paths,partly,no,clean,no,none,close-duplicate,no,trivial,obsolete on main; same head commit as #10039; conflicts,10039,"Numeric model-metadata constants plus a path-resolution helper swap. No new deps, no network calls, no exec, no auth or approval logic touched.","This PR and #10039 now point at the identical head commit 9198b981, so they are literally the same branch opened twice, and each carries both the MiniMax edit and the unrelated getDocumentsPath() hooks fix. The MiniMax half is already obsolete: sdk/packages/llms/src/catalog/catalog.generated.ts already lists contextWindow 204800 for MiniMax-M2.7 and friends, and that file is auto-generated so it would never be hand-edited anyway. Close this one and keep #10039, which is titled after the half that still matters."
10039,https://github.com/cline/cline/pull/10039,fix: use getDocumentsPath() for consistent global hooks directory resolution on WSL,cyphercodes,2026-03-29,2026-03-29,False,main,3,13,9,dirty,vscode-new,yes,yes,clean,after-changes,medium,needs-author-work,yes,small,targets deleted repo-root src/; needs re-targeting to apps/vscode/src/ and the stray MiniMax edit dropped,,"Swaps a hardcoded os.homedir()/Documents join for the existing getDocumentsPath() helper. getDocumentsPath() does spawn xdg-user-dir on Linux and PowerShell on Windows, but that helper is pre-existing and already used by ensureHooksDirectoryExists(); this PR adds no new subprocess, dependency, or network call. No path-traversal exposure since the result is only joined with fixed 'Cline'/'Hooks' segments.","The bug is real and still present on main: ensureHooksDirectoryExists() in apps/vscode/src/core/storage/disk.ts uses getDocumentsPath(), but apps/vscode/src/core/controller/file/refreshHooks.ts and apps/vscode/src/core/hooks/utils.ts both still hardcode path.join(os.homedir(), 'Documents', 'Cline', 'Hooks'), so on any XDG setup where the Documents dir is relocated, hooks get written where the runtime never looks. Two-line fix worth taking, but the branch is against the pre-move tree and also drags in an unrelated MiniMax context-window edit that must be dropped."
10045,https://github.com/cline/cline/pull/10045,feat(kanban): add auto-start on login via macOS launchd,Krzysztof-Dziardziel,2026-03-29,2026-04-01,False,main,15,352,80,dirty,mixed,yes,no,minor-concerns,no,low,close-obsolete,no,medium,targets deleted cli//src//proto//webview-ui/ tree; no launchd or kanban service concept exists on main; unsolicited feature with a one-line description,,"src/shared/services/kanban-service.ts writes a launchd LaunchAgent to ~/Library/LaunchAgents/com.cline.kanban.plist and loads it via launchctl, i.e. it installs a login-persistence mechanism. The implementation itself is defensive (execFile with argument arrays rather than exec, so no shell injection; escapeXml() applied to every interpolated plist string). Two design-level concerns remain: the agent's ProgramArguments is whatever resolveCommandFullPath('kanban') finds first on PATH, and the invoking shell's entire process.env.PATH is baked into the plist's EnvironmentVariables, so a poisoned PATH at install time gets persisted into a login item. Also 76 lines of unrelated npm 'peer': true churn in package-lock.json.","Adds `cline kanban service install/uninstall/status` backed by a macOS launchd LaunchAgent, plus a PATH-walking resolveCommandFullPath() helper with tests. Nothing on main resembles this: kanban appears only in docs/ and the remote-config schema, there is no LaunchAgents or launchctl code anywhere, and the root cli/ tree it modifies is gone. Would need reimplementation against apps/cli plus a product decision about shipping a login-persistence mechanism, so it is not salvageable as a rebase."
10048,https://github.com/cline/cline/pull/10048,feat: include active rules in task metadata,ryrenz,2026-03-30,2026-03-31,False,main,4,247,0,dirty,vscode-new,yes,unsure,minor-concerns,after-changes,medium,needs-author-work,no,medium,src/core/task/index.ts (the wiring point) no longer exists on main; needs a new integration site,,"No new deps, no network calls, no exec. The one thing to weigh is data exposure: buildActiveRulesMetadata() writes absolute global rule paths (e.g. /Users/<username>/.cline/rules/style.md) into task_metadata.json, which is what users hand over when they export and share a task. That is consistent with files_in_context already stored there, but it does widen what a shared export leaks about the local filesystem.","Adds an active_rules snapshot (enabled global/local/cursor/windsurf/agents rule paths plus activated conditional rules) to task_metadata.json on the first turn, with a clean pure helper and 4 unit tests. Half of it ports cleanly - apps/vscode/src/core/context/context-tracking/ContextTrackerTypes.ts still exists and its TaskMetadata interface still lacks the field - but the call site in src/core/task/index.ts is gone from main and ContextTrackerTypes is now only consumed by FileContextTracker and disk.ts, so the author has to find a new hook point. Nice-to-have rather than a fix for a reported defect."
10067,https://github.com/cline/cline/pull/10067,docs(api): fix wrong model names of Claude Sonnet in API calls,pzhlkj6612,2026-03-31,2026-03-31,False,main,7,40,40,dirty,docs,yes,yes,clean,after-rebase,medium,review-and-merge,yes,trivial,conflicts with main,,"Pure string substitution across seven .mdx files in docs/api. No code, no dependencies, no endpoints changed; the api.cline.bot URLs in the curl examples are pre-existing and untouched.","The reporter is right and the docs are genuinely wrong. sdk/packages/llms/src/tests/provider-vcr.test.ts pins the Cline gateway provider to modelId 'anthropic/claude-sonnet-4.6' (dot) while the direct Anthropic provider uses 'claude-sonnet-4-6' (dashes); docs/api documents the gateway, yet docs/api/models.mdx still tells users 'anthropic/claude-sonnet-4-6', which is why they hit model-not-found. I confirmed the 40 changed lines only touch provider-prefixed ids, so no direct-Anthropic examples are corrupted. Cheapest high-signal merge in the batch once rebased; the failing 'test (windows-latest)' check is unrelated to a docs-only diff."
10071,https://github.com/cline/cline/pull/10071,docs(architecture): add source-driven deep-dive guides,tianhao909,2026-03-31,2026-03-31,False,main,13,1486,3,dirty,docs,partly,no,clean,no,low,close-low-quality,no,large,documents source paths deleted from main; introduces docs/en//docs/zh/ namespaces that conflict with the existing docs layout; conflicts,,"Documentation-only .mdx and docs.json changes. No code, dependencies, scripts, or endpoints. Reviewed the added prose for injected instructions or credential examples and found none.","1486 lines of bilingual AI-written architecture prose whose entire premise is 'source-driven', yet every anchor it cites is dead: docs/en/math-theory.mdx walks through src/utils/cost.ts and src/core/task/loop-detection.ts, neither of which exists under apps/vscode on main. It also invents top-level docs/en/ and docs/zh/ trees that do not match the existing flat docs layout, duplicates the sidebar label of docs/getting-started/quick-start.mdx, and pads in a 'math theory' page that is mostly restated arithmetic. Filed against the author's own issue #10070 with no maintainer interest."
10073,https://github.com/cline/cline/pull/10073,fix: allow removing image/file attachments on sent messages,svkrclg,2026-03-31,2026-04-07,False,main,1,28,9,dirty,vscode-new,yes,yes,clean,after-changes,medium,needs-author-work,yes,small,"CI failing (test, test windows-latest, e2e macos); conflicts; targets deleted webview-ui/ path",,"Local React state only - two useState arrays for edited images/files, wired into the existing Thumbnails component's setImages/setFiles props. No new deps, no network calls, no change to what gets sent beyond the user's own deletions.","Closes a real UX gap from #9906: when you click a sent message to edit it, attachments are rendered read-only and there is no way to drop one before restoring. The patch moves Thumbnails inside the edit branch with setters attached and resets to the originals on Escape/blur. The gap still exists on main - apps/vscode/webview-ui/src/components/chat/UserMessage.tsx line 172 still renders Thumbnails without setters - so it is worth taking, but the branch is against the pre-move path, CI is red, and the dirty-check only compares array lengths rather than contents."
10078,https://github.com/cline/cline/pull/10078,fix(prompt): add task evolution to summarize example,zerone0x,2026-04-01,2026-04-01,False,main,1,8,3,dirty,legacy-dead-paths,yes,no,clean,no,none,close-obsolete,no,trivial,src/core/prompts/contextManagement.ts and the whole summarize_task prompt template are gone from main,,"Eight lines of static prompt template text. No code paths, deps, or endpoints. The added text is boilerplate section headers, not instructions that could be leveraged for injection.","Correctly adds the missing 'Task Evolution' block to the summarize_task example and renumbers sections 6-8 to 7-9 so the example matches the instructions above it. But the file is deleted on main and grepping the whole repo for the surrounding template markers ('Current Work:', 'Optional Next Step') returns nothing under apps/ or sdk/, so there is no equivalent string left to fix."
10079,https://github.com/cline/cline/pull/10079,fix(cli): handle openExternal failures when browser open fails,zerone0x,2026-04-01,2026-04-01,False,main,1,8,3,dirty,cli,yes,no,clean,no,low,close-obsolete,no,trivial,cli/src/controllers/index.ts does not exist on main; equivalent hardening already present in apps/cli,,"Wraps an existing dynamic import('open') and open(url) in try/catch and prints a warning. No new deps, no new endpoints, and the URL is already caller-supplied through the host bridge - the patch does not widen what can be opened.","Correct five-line fix for #9991 (missing xdg-open crashing the CLI), but the root cli/ tree is gone and the equivalent already exists on main: apps/cli/src/tui/views/onboarding/auth.ts guards open() with both a .catch() and a try/catch and falls back to showing the URL. Two remaining unguarded call sites (apps/cli/src/commands/dashboard.ts and doctor.ts) are a separate and much smaller issue that this branch does not address."
10080,https://github.com/cline/cline/pull/10080,fix: run file read optimization every turn,zerone0x,2026-04-01,2026-04-01,False,main,1,11,11,dirty,legacy-dead-paths,yes,no,clean,no,none,close-obsolete,no,trivial,ContextManager and attemptFileReadOptimizationCore no longer exist anywhere in the repo,,"Reorders two existing in-process calls inside one function. No new deps, no I/O beyond the already-present saveContextHistory, no network, no exec.","Hoists attemptFileReadOptimizationCore() and saveContextHistory() out of the totalTokens >= maxAllowedSize guard so duplicate file reads are deduped every turn instead of only under context pressure - a sensible change in isolation. A repo-wide search for both 'ContextManager' and 'attemptFileReadOptimization' returns zero hits on main, so the entire legacy context-management path this depends on has been replaced."
10089,https://github.com/cline/cline/pull/10089,"refactor(webview-ui): filter per-file diff content in individual ""cline wants to edit this file"" views",chinhkrb113,2026-04-01,2026-04-01,False,main,1,27,0,blocked,legacy-dead-paths,no,no,clean,no,none,close-low-quality,no,trivial,"imports a DiffViewer component that does not exist; CI failing (Quality Checks, e2e on all three OSes)",,"27 lines of dead React that never compiles or executes. No deps, network, or exec. The one regex is built from a filePath that the code does escape for regex metacharacters, so even if it ran there is no injection concern - it is simply broken.","Textbook AI slop with a self-assigned 'Severity: high' header. It is labelled a refactor but only adds a brand-new PlannedEdits.tsx that (a) imports ./DiffViewer, which exists nowhere in the repo so the build breaks, (b) writes [\s\S] inside a template literal so the backslashes are stripped and the regex degrades to [sS], meaning the per-file filter always falls through to the full multi-file diff, and (c) is never imported by anything. None of the three defects it claims to fix are actually fixed."
