number,url,title,created,updated,author,labels,area,kind,verdict,relevant_to_main,severity,human_attention,duplicate_of,cluster,evidence,notes
9983,https://github.com/cline/cline/issues/9983,Degraded performance after upgrading to vscode 1.113.0,2026-03-26,2026-04-11,aol-nnov,VS Code,vscode-new,bug,needs-info,unsure,medium,no,,,"The obfuscated frame the reporter cites (`n.responseStream.e.<computed>`) maps to the gRPC streaming subscription plumbing, which still exists on main at `apps/vscode/src/core/controller/grpc-handler.ts` (`responseStream` handler) and `apps/vscode/src/core/controller/grpc-request-registry.ts`. I found no idle-CPU fix commit in `git log --since=2026-03-26 -- apps/vscode/src/core/controller`, but the reporter self-reported the load average returning to normal on 3.75->3.78.0.",Filed against the legacy 3.75 marketplace build and self-resolved on 3.78.0. No profile/trace attached that names a symbol still on main; would need a fresh CPU profile against apps/vscode before it is actionable.
9990,https://github.com/cline/cline/issues/9990,Cline Kanban CLI: TypeError: schema is not a function in @ai-sdk/provider-utils,2026-03-26,2026-05-30,shubhamgowdaa,stale|CLI|Kanban,unknown,bug,out-of-scope,no,medium,no,,,"Every stack frame is inside `node_modules/kanban/...`, and Kanban is a separate repository per `README.md` (`| **Kanban** | ... | cline/kanban |`). In this repo `apps/cli/src/commands/kanban.ts` only shells out to install/launch the external `kanban` npm package; no `asSchema`/`prepareToolsAndToolChoice` tool-schema construction exists under `sdk/packages/llms/src/providers`.",Maintainer ClineXDiego already routed it to the Kanban team. Belongs in cline/kanban.
9994,https://github.com/cline/cline/issues/9994,Global hooks created in wrong directory on WSL,2026-03-26,2026-05-26,Airick73,stale|VS Code,vscode-new,bug,confirmed-by-code,yes,high,yes,,,"Still split on main: the hook management RPCs (`apps/vscode/src/core/controller/file/createHook.ts`, `toggleHook.ts`, `deleteHook.ts`) call `resolveHooksDirectory()` which hardcodes `path.join(os.homedir(), ""Documents"", ""Cline"", ""Hooks"")` (`apps/vscode/src/core/hooks/utils.ts:54`, same literal in `refreshHooks.ts:14`), while hook execution reads `getAllHooksDirs()` -> `getGlobalHooksDir()` -> `ensureHooksDirectoryExists()` (`apps/vscode/src/core/storage/disk.ts:94`), which resolves through `getDocumentsPath()` (`apps/vscode/src/core/storage/documents-path.ts`) and returns `xdg-user-dir DOCUMENTS` — i.e. `$HOME` on WSL where XDG_DOCUMENTS_DIR is unset.","Silent failure: hooks appear in the UI but never fire. Fix is mechanical (route resolveHooksDirectory/refreshHooks through ensureHooksDirectoryExists) but needs a product call on whether ~/Documents/Cline or XDG Documents is canonical, and a migration for hooks already written to the wrong path. Owned by apps/vscode."
9999,https://github.com/cline/cline/issues/9999,Cline Kanban Claude Code integration not working,2026-03-26,2026-04-21,souf92i,CLI,unknown,bug,out-of-scope,no,medium,no,,,"Reported against Kanban v0.1.45, which lives in `cline/kanban` (see `README.md` products table); `apps/cli/src/commands/kanban.ts` is only a launcher. The Claude Code provider on main is a thin wrapper over the third-party `ai-sdk-provider-claude-code` package (`sdk/packages/llms/src/providers/vendors/community.ts:85 createClaudeCodeProviderModule`) and contains no 120000ms request timeout — `grep -rn ""120000""` finds nothing in `sdk/packages/llms/src`.","The 120s timeout comes from Kanban's own agent loop, not from @cline/llms. Should be moved to cline/kanban."
10006,https://github.com/cline/cline/issues/10006,npm i -g cline fails on macOS arm64 — sharp build error via ink-picture,2026-03-27,2026-05-27,KevinWuWon,stale|CLI,cli,bug,already-fixed,no,high,no,,,"`apps/cli/package.json` (package `@cline/cli`, bin `cline`) has no `ink`, `ink-picture` or `sharp` dependency and no optionalDependencies; the TUI is OpenTUI-based (`@opentui/core`, `@opentui/react`). The Ink CLI that pulled in `ink-picture` was the old repo-root `cli/` tree, deleted in `00d423937 chore: remove legacy cli/ source and direct references` (2026-05-13) after the OpenTUI rewrite `2dfc796b3 feat: rewrite CLI TUI from Ink to OpenTUI (#227)`.",Safely auto-closeable: the native-dependency chain that broke global install no longer exists in the published CLI.
10011,https://github.com/cline/cline/issues/10011,Unable to use Cline via ACP in JetBrains IDEs,2026-03-27,2026-05-27,ganapathi-m-7522,stale|VS Code,cli,bug,needs-info,unsure,medium,no,,,"The ACP agent was rewritten and now lives at `apps/cli/src/acp/acpAgent.ts`; `newSession()` (line 112) is a completely different implementation from the 3.67/3.75 path the reporter hit. It does perform an unguarded `await Llms.getModelsForProvider(providerId)` inside `newSession`, so any network failure (the Linear title mentions a corporate proxy) would surface exactly as the reported opaque `-32603 Internal error` with empty `data`.","Unreproducible as filed (no proxy config, no cline-side stderr beyond the JSON-RPC envelope). Worth a small hardening pass regardless: wrap the model fetch in acpAgent.newSession so proxy/network failures return a typed ACP error instead of a bare internal error."
10015,https://github.com/cline/cline/issues/10015,"Cline wants to execute this command:  Skipped, thinking",2026-03-27,2026-06-20,happyrwandan,VS Code,vscode-new,bug,duplicate,unsure,high,no,12079,terminal-skipped-hang,"The hang the commenters diagnosed (a `for await` over `execution.read()` that never terminates in `VscodeTerminalProcess`) was rewritten on main by `12703bf40 Improve VS Code terminal reliability: OSC 633 parser, exit codes, timeout handling (#11972)` (2026-07-15): `apps/vscode/src/hosts/vscode/terminal/VscodeTerminalProcess.ts` now pulls the iterator manually and races each read against MARKERLESS_FIRST_DATA_TIMEOUT/MARKERLESS_IDLE_TIMEOUT/MARKERLESS_MAX_QUIET_TIME and terminal closure, plus a 3s EXIT_CODE_EVENT_TIMEOUT_MS. However, once the OSC 633 `C` marker is seen the code deliberately passes `idleTimeoutMs = undefined` (line ~207), so a post-C stream that never ends is still unbounded except by terminal closure.","Highest-volume complaint in this batch (10+ distinct reporters, plus dupe #10031 and cross-refs #9857/#10208). #11972 should have bounded it; needs a verification pass on main rather than a blind close. Exorion1er's comment is a genuinely good root-cause writeup worth keeping."
10016,https://github.com/cline/cline/issues/10016,GUI configuration shows blank/incorrect models from LM Studio API on Windows 11,2026-03-27,2026-06-01,tjbmidland,stale|CLI,sdk-core,bug,already-fixed,no,medium,no,,,"The `providers.json` the workaround edits is the SDK-owned store (`sdk/packages/core/src/services/storage/provider-settings-manager.ts`), so the root cause is in scope even though the UI is Kanban's. On main `sdk/packages/llms/src/providers/builtins.ts:885` registers lmstudio with `modelsSourceUrl: ""http://localhost:1234/v1/models""`, and `sdk/packages/core/src/services/llms/provider-defaults.ts:905-927` now runs keyless live model sources ""even if the caller didn't pass a config"", falling back to the spec base URL. That path plus manual model entry came from `ffc01770e fix(cli): improve local provider onboarding and model selection [ENG-1927] (#338)` (2026-05-04), whose description names exactly these gaps for Ollama/LM Studio.","Worth re-verifying in Kanban specifically, since Kanban pins its own @cline/core version."
10022,https://github.com/cline/cline/issues/10022,Sixth does not detect custom MCP server from sixth-mcp-settings.json even though the stdio server starts successfully,2026-03-28,2026-05-27,michh71,stale|VS Code,unknown,bug,out-of-scope,no,low,no,,,The report is entirely about the `sixth.sixth-ai` VS Code extension and its `sixth-mcp-settings.json`. A case-insensitive search for `sixth` across the whole repo (excluding node_modules/dist) returns zero hits; Cline's MCP settings file is `cline_mcp_settings.json` (`apps/vscode/src/core/storage/disk.ts:28`).,Third-party Cline fork; filed on the wrong tracker. Auto-closeable.
10030,https://github.com/cline/cline/issues/10030,Extension host terminated unexpectedly 3 times within the last 5 minutes,2026-03-28,2026-05-28,Romihub,stale|VS Code,vscode-new,bug,needs-info,unsure,high,no,,extension-host-crash,"No stack, no extension-host log, no VS Code version. Nothing to ground against: the 3.76 extension host code has been replaced by `apps/vscode/src/extension.ts` + `apps/vscode/src/common.ts` on main, and there is no reported crash signature (OOM, native module, unhandled rejection) to search for.",Reporter never supplied the extension host log; stale since March. Ask for `Developer: Open Extension Logs Folder` output or close.
10031,https://github.com/cline/cline/issues/10031,Stuck on Thinking...,2026-03-28,2026-06-02,AhmadSuweiti,P2|VS Code,vscode-new,bug,duplicate,unsure,high,no,10015,terminal-skipped-hang,"Same symptom, same trigger (`ls`/`echo`), same log signature as #10015 — `[TerminalManager Test] Shell integration activated ... Proceeding with command execution` with no matching completion line from `apps/vscode/src/hosts/vscode/terminal/VscodeTerminalManager.ts`. Author AhmadSuweiti also commented ""I can reproduce this issue also"" on #10015 the same day.","Fold into #10015. Keep #10031's terminal logs (ian-hailey, kong62) as evidence there — they are cleaner than #10015's."
